pl_name,PC1,PC2,PC3,PC4,Cluster_K4,Familia_Planeta
TOI-615 b,0.8263818708707852,-2.306754355806511,1.869426713327225,-0.9710350447893568,1,Familia 1 (Población Secundaria)
TOI-622 b,0.8609529581496534,-1.7444594065362151,2.1073884741680677,-0.4870087673092168,1,Familia 1 (Población Secundaria)
TOI-654.01,-2.0043481174708124,1.110665226801593,-0.1940232176071459,0.5846339475328719,3,Familia 3 (Población Mayoritaria)
TOI-663 b,-1.4228298674883932,1.113836196674984,0.6745389419405012,0.1512594322603847,3,Familia 3 (Población Mayoritaria)
TOI-663 c,-1.052457758064339,1.3668137523598696,0.7293169148828428,0.118979033002478,3,Familia 3 (Población Mayoritaria)
TOI-663 d,-0.8478705158187484,1.548297685674085,0.3044522857893865,0.1668882095459318,3,Familia 3 (Población Mayoritaria)
TOI-669 b,-0.8049581774102328,-0.419754654208879,-0.6054211916661792,-0.4564635401671496,1,Familia 1 (Población Secundaria)
TOI-672 b,-1.3448692005324492,0.9980850898017714,-0.2653617813855138,-0.0523602992429694,3,Familia 3 (Población Mayoritaria)
TOI-700 e,0.2585536139361274,2.673442969301275,-0.2941688393369033,-0.1676738359215476,3,Familia 3 (Población Mayoritaria)
TOI-712 b,0.46779138044052,1.0682023337633522,3.0509866460289583,-0.6637045569322295,3,Familia 3 (Población Mayoritaria)
TOI-712 c,2.1259782279452644,2.0831938886729,-0.5613644786750509,-0.0938424159304461,0,Familia 0 (Población Intermedia)
TOI-712 d,3.2661856298556824,2.44617889849909,-0.9412905569028016,0.0989403671167005,0,Familia 0 (Población Intermedia)
TOI-715 b,-0.7547152959801603,3.2090630743672266,-0.1925872969612765,-0.4370491781720158,3,Familia 3 (Población Mayoritaria)
TOI-733 b,-0.557716486687497,-0.1409895696176857,-0.3683233253536005,-0.6509908064363884,3,Familia 3 (Población Mayoritaria)
TOI-756 b,-1.967529753468911,0.6695198263845573,-0.2146440466244245,0.7533584801785116,3,Familia 3 (Población Mayoritaria)
TOI-757 b,1.055482378220515,0.9940071210887452,1.7825369774307211,-1.3994095615534048,3,Familia 3 (Población Mayoritaria)
TOI-762 A b,-1.3130695802557002,1.0136991333851426,0.4792566168448351,1.6872758366578076,3,Familia 3 (Población Mayoritaria)
TOI-771 b,-2.0086246603878197,2.0493142038590872,0.1624902987358554,-0.2602861451551417,3,Familia 3 (Población Mayoritaria)
TOI-778 b,0.5339281608084546,-2.5264858730578883,0.7463881073808583,-0.4673999087035195,1,Familia 1 (Población Secundaria)
TOI-782 b,-0.6867694732080525,1.658721437509941,1.024894164563624,1.2027214231123176,3,Familia 3 (Población Mayoritaria)
TOI-784 b,-1.1286839283678958,-0.3370817882535067,-0.5859163707359385,-0.8342666555335089,3,Familia 3 (Población Mayoritaria)
TOI-815 b,0.1892006096621552,0.7667155953520327,0.6657850082998908,-0.6675054592779807,3,Familia 3 (Población Mayoritaria)
TOI-836.01,-0.5063346997859073,1.3258983145784655,-0.0405157906989182,-0.9163115330815328,3,Familia 3 (Población Mayoritaria)
TOI-836 b,-1.250481202798239,0.9986933188388608,-0.1265589618641537,-1.0312425834069838,3,Familia 3 (Población Mayoritaria)
TOI-858 B b,-0.2070317231996901,-1.854515364939812,0.5090201897109972,0.2573417006818211,1,Familia 1 (Población Secundaria)
TOI-871 b,0.1615277580633125,1.128773320080505,-0.1535892782588109,-0.5248148752773149,3,Familia 3 (Población Mayoritaria)
TOI-880 c,-0.4038094518989394,-0.0032164575553153,-0.0482525172251525,0.5188490569291442,3,Familia 3 (Población Mayoritaria)
TOI-880.02,-1.0582513517964272,-0.2628204441218421,0.1143231509756703,0.3190339347148883,3,Familia 3 (Población Mayoritaria)
TOI-904 b,-0.8624840205917228,1.7161448179591696,-0.212263920779418,0.1294059846792178,3,Familia 3 (Población Mayoritaria)
TOI-904 c,2.954359018936927,2.7796477967976023,-0.2000859538985402,0.318228655586407,0,Familia 0 (Población Intermedia)
TOI-907.01,0.1104767592531011,-2.7328506108759343,-0.4353115233008185,-0.4121876183253253,1,Familia 1 (Población Secundaria)
TOI-908 b,-0.6704775007467791,-0.584412560531334,0.351331317426472,-0.2344559733135191,1,Familia 1 (Población Secundaria)
TOI-912 b,-0.577051674350761,2.039051249630501,3.6178583095274734,-0.775790066515953,3,Familia 3 (Población Mayoritaria)
TOI-913 b,-0.0972650007979554,0.9185281640275428,-0.0958141319255915,-0.6630289235354351,3,Familia 3 (Población Mayoritaria)
TOI-969 b,-1.3809236639890778,0.0874107993144627,0.1795866319331953,0.3300026339301672,3,Familia 3 (Población Mayoritaria)
TOI-1011 b,-1.2150530012648446,-0.4370928993649591,-0.6003366221439757,-0.4519504771302893,3,Familia 3 (Población Mayoritaria)
TOI-1052 b,0.5562559623114669,-0.8849212519678077,0.3774582060398515,-0.354156526370223,1,Familia 1 (Población Secundaria)
HD 109833 b,0.4187589401354967,-0.1032786077420443,0.4059180882191147,-0.7784860856838662,1,Familia 1 (Población Secundaria)
HD 109833 c,0.8925047942845947,-0.0077705417495024,1.1937923778308208,-0.8409916937561897,1,Familia 1 (Población Secundaria)
TOI-1117 b,-1.138820214187093,-1.0191968886139722,-0.5845678174731712,-0.1235098072256724,1,Familia 1 (Población Secundaria)
TOI-1135 b,0.2433834880995658,-0.98150568835783,-0.3063830316885905,-0.4258923052996741,1,Familia 1 (Población Secundaria)
TOI-1136 d,0.350426239051485,0.1070579116253694,-0.5347916628209484,-0.2473788934408981,3,Familia 3 (Población Mayoritaria)
TOI-1136 c,-0.2339122317132613,-0.3128574715348637,0.0592720719863469,-0.3295754847887363,1,Familia 1 (Población Secundaria)
TOI-1136 f,1.3257955640522017,0.5916383870333676,-1.0342382408473385,-0.1068227930688587,3,Familia 3 (Población Mayoritaria)
TOI-1136 e,0.7613735242190722,0.3322575947570748,-0.6227955795102749,-0.2443291945374663,3,Familia 3 (Población Mayoritaria)
TOI-1173 b,-0.2428145605791316,-0.2892143954587884,-0.3999608924747456,0.3302367134419804,1,Familia 1 (Población Secundaria)
TOI-1194 b,-0.9572078867502256,-1.1317991912898724,-0.3685074796034526,1.0787604483775024,1,Familia 1 (Población Secundaria)
