pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-912 b,-0.10552171861604255,-0.2551097410817321,-0.30913953389467097,-0.4695340003212425,3.835714285714285,-0.45442642120931753,-0.4516574585635359,-0.9223057644110275,-0.8241305196208036,-0.9685916919959473,-0.9629629629629629,1.3514986376021811
TOI-913 b,0.5411893441495113,0.45466824077767154,-0.18645657739824617,-0.36671170420933275,0.3051159518205266,-0.22869077758971054,-0.22926795580110498,-0.185199841709537,-0.23150186771830758,-0.154002026342452,-0.7518518518518519,0.37602179836512234
TOI-969 b,-0.7027090121520011,-0.48079945566988597,-0.12177434991312815,-0.32188312805700764,0.26210374837110706,0.24362209568296006,0.08701657458563536,-0.4669568658488326,-0.33880696092500384,-0.32826747720364746,0.3888888888888888,0.17983651226157993
TOI-1011 b,-0.5263966134798043,-0.3152265526139383,-0.4428302180574671,-0.5254272727823387,-0.3071428571428571,0.6297496954779029,0.5998827796720368,0.08178340588312888,0.07358019687720144,0.02836879432624116,-0.14814814814814817,0.04359673024523165
TOI-1052 b,0.39018565378125736,0.49288141848088607,-0.10122048546138006,-0.15431539381374026,0.9785714285714285,0.319286190659432,0.35497237569060774,0.4358264081255771,0.5628764914967584,0.6241134751773048,0.25925925925925924,-0.5013623978201639
HD 109833 b,0.3942921114654207,0.5792837494257983,-0.09775304224283027,-0.2163818501236846,0.9785714285714285,0.23029463313995552,0.03774738384519419,0.29600316580926,0.1947760961801735,0.37284701114488356,-0.5185185185185185,-0.09264305177111665
HD 109833 c,0.719244483576921,0.7175367338854979,-0.15733938121312935,-0.004654429751846378,1.8357142857142856,0.1521433719034307,-0.004082715003688192,0.29600316580926,0.1947760961801735,0.37284701114488356,-0.5185185185185185,-0.09264305177111665
TOI-1117 b,-0.5882786911627881,-0.37804116973587,-0.18490002225728353,-0.3277396188626107,-0.3071428571428571,0.6937940197977257,0.9116022099447514,0.16620498614958448,0.26808567902147945,0.14994934143870303,0.24444444444444444,-0.20163487738419578
TOI-1135 b,0.2908834926841081,0.35308068693366745,0.6739113849558296,0.19887069852306974,0.13571428571428573,0.38442319411378406,0.4046961325966851,0.5276348766653476,0.4804390367301195,0.4518743667679837,-0.40370370370370373,-0.42506811989100735
TOI-1136 d,0.6361416716904251,0.7129188168508938,-0.10398040841076522,-0.34447644719068304,-0.007142857142857099,-0.012999148457009465,-0.04834254143646409,0.2374356944994064,0.14688977971850675,0.2553191489361702,0.0,-0.038147138964578296
TOI-1136 c,0.10427784729698793,0.1364979000236826,-0.034600029975484003,-0.41614755392488395,0.47857142857142854,0.2534381159972174,0.2541436464088398,0.2374356944994064,0.14688977971850675,0.2553191489361702,0.0,-0.038147138964578296
TOI-1136 f,1.2375526638070513,1.6608227640267177,0.04548480740276047,-0.30498527977480805,-0.29999999999999993,-0.3425407996817131,-0.30386740331491713,0.2374356944994064,0.14688977971850675,0.2553191489361702,0.0,-0.038147138964578296
TOI-1136 e,0.9623428767741861,1.0523373007357255,-0.032347239954168695,-0.4263228230132581,-0.003571428571428525,-0.12428032737377201,-0.19475138121546962,0.2374356944994064,0.14688977971850675,0.2553191489361702,0.0,-0.038147138964578296
TOI-1173 b,0.19444330692777728,0.1767733719712012,0.6222145753239411,-0.01915547892170141,-0.14285714285714282,0.14427942718756112,-0.013812154696132596,0.015829046299960427,0.09514978920305311,0.030395136778115527,0.25555555555555554,-0.09264305177111665
TOI-1194 b,-0.5667092372166255,-0.36262277723269837,0.5866713798543011,0.40525067211993165,-0.3071428571428571,0.4948311817956202,0.533549723756906,0.03904498087323572,0.13600807936473955,0.17730496453900713,1.0296296296296295,-0.057220708446866234
TOI-1199 b,-0.2723445626038571,-0.11975732624857813,0.7134957076925759,0.27275436072830345,-0.09285714285714283,0.6340428530755143,0.8397790055248618,0.20577760189948555,0.7972845816800481,0.6767983789260383,1.3703703703703702,-0.8010899182561297
TOI-1203.01,1.2115553094134541,1.5135540450886307,-0.09200948842504866,-0.3761987772298051,-0.07857142857142853,-0.12121231561046523,-0.18563535911602208,0.22002374356944995,0.4492657729767163,-0.020263424518743682,-1.7037037037037037,-0.3923705722070848
TOI-1221 b,2.281827216776575,4.317592828162413,-0.09353679130269234,1.055118701988215,1.1928571428571426,-0.6857214247017396,-0.6049723756906077,0.14351668645297455,0.24044085400766982,0.06889564336372853,-0.03703703703703707,-0.2833787465940057
HD 56414 b,1.3189421765698846,2.390388304572865,0.045560969773974676,0.7822780518700048,4.55,-0.22234048388926547,0.35220994475138123,1.6778789077958054,1.1413087193038611,2.01418439716312,-0.25925925925925924,-1.2348875258874452
TOI-1238 c,-0.3442258311671732,-0.31645690986058717,-0.2645892954130227,-0.34541747032260617,0.7642857142857142,-0.06251119828907277,-0.2527624309392265,-0.6495185331750428,-0.5050569358071791,-0.6200607902735563,0.8888888888888888,0.3978201634877382
TOI-1238 b,-1.1046253101170558,-0.6754328991970928,-0.5198665508155526,-0.542164101110411,1.4785714285714286,0.48443841454830455,0.35220994475138123,-0.6495185331750428,-0.5050569358071791,-0.6200607902735563,0.8888888888888888,0.3978201634877382
TOI-1248 b,-0.15477903677139948,-0.10276720973681272,0.4233043993698078,-0.01915547892170141,-0.3071428571428571,0.1970207351386635,0.10233425414364646,-0.06067801081651497,-0.006982633070795125,0.016616008105369777,0.5666666666666667,0.0844686648501354
TOI-1249 b,0.6707925040781528,0.7532021000816036,-0.027542946159981086,-0.2502337270402352,-0.3071428571428571,-0.0868612394048339,-0.20871546961325968,0.09339137316976652,0.1626877727482055,0.2233029381965551,0.8407407407407406,-0.0735694822888287
