pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-2257 b,35.189346,0.145,2.194,,0.496,,256.0,3430.0,0.313,0.328,-0.27,4.971
TOI-2260 b,0.3524728,0.0097,1.62,,,,2609.0,5534.0,0.94,0.99,0.22,4.62
TOI-2266 b,2.326318,0.02,1.54,,,13.0,550.0,3200.0,0.24,0.23,,
TOI-2267 b,2.28909,0.0205,1.0,,,8.4,424.0,3030.0,0.2075,0.171,0.164,4.99
TOI-2267 c,3.4950412,0.0263,1.14,,,4.7,374.0,3030.0,0.2075,0.171,0.164,4.99
TOI-2274 b,2.67963,0.05,2.45,,,,771.46,3943.0,0.631,0.612,,4.5
TOI-2285 b,13.635109,,1.77,,,3.91,358.0,3491.0,0.464,0.454,-0.05,
TOI-2295 b,30.033302,0.1992,16.47720163,278.09985612,0.334,,747.0,5730.0,1.459,1.168,0.316,4.176
TOI-2322 b,11.30717,0.0924,0.994,2.31,0.0,22.04,603.1,4664.0,0.662,0.703,-0.12,4.57
TOI-2322 c,20.225528,0.1362,1.874,18.1,0.0,10.15,496.8,4664.0,0.662,0.703,-0.12,4.57
TOI-2328 b,17.10197,0.127,9.97599282,50.85254512,0.057,,842.0,5525.0,0.9,0.95,0.09,4.505
TOI-2337 b,2.99432,,10.08808263,508.5254512,0.019,,,4780.0,3.22,1.325,0.39,3.5
TOI-2338 b,22.65398,0.158,11.2089807,1900.61387386,0.676,,799.0,5581.0,1.05,0.99,0.22,4.4
TOI-2345 b,1.0528573,0.01705,1.504,3.49,,791.0,1478.0,4687.0,0.729,0.727,-0.1,4.57
TOI-2345 c,21.064302,0.1257,2.451,7.27,,14.57,544.0,4687.0,0.729,0.727,-0.1,4.57
TOI-2346 b,3.3312029,0.0473,16.11851425,394.10722468,0.086,1360.0,1689.0,6480.0,1.38,1.271,-0.03,4.265
TOI-2364 b,4.0197517,0.04871,8.60849718,71.51139158,0.0,237.0,1091.0,5306.0,0.886,0.954,0.344,4.524
TOI-2368 b,5.1750073,0.05649,10.83908434,206.58846455,0.061,,1000.0,5360.0,0.846,0.897,0.1,4.538
TOI-237 b,5.436098,0.0341,1.44,,0.0,3.7,388.0,3212.0,0.211,0.179,,5.04
TOI-2373 b,13.33668,0.112,10.42435205,2955.8041851,0.112,,860.0,5651.0,1.102,1.041,0.3,4.371
TOI-2374 b,4.3136193,0.04818,7.48759911,61.65871096,,122.9,926.0,5002.0,0.711,0.802,0.128,4.638
TOI-2379 b,5.4693827,0.05263,11.72459381,1830.69162432,0.342,25.3,624.0,3707.0,0.622,0.645,0.501,4.653
TOI-238 b,1.273099,0.0212,1.559,3.37,,753.1,1378.0,5059.0,0.756,0.781,-0.114,4.58
TOI-2382 b,4.6612061,0.059,12.25141591,235.19302118,0.18,689.0,1426.0,6033.0,1.417,1.26,0.249,4.235
TOI-2384 b,2.13570304,0.02793,11.48920522,624.85064816,0.0,104.3,889.7,3943.0,0.6113,0.635,0.332,4.66
TOI-2406 b,3.0766891,0.02267,2.86,15.6,0.17,6.69,449.0,3100.0,0.204,0.166,-0.26,5.041
TOI-2407 b,2.702969,0.033,4.26,,0.08,41.0,705.0,3530.0,0.567,0.548,0.21,
TOI-2411 b,0.7826942,0.0144,1.68,,,,1355.0,4099.0,0.68,0.65,,4.59
TOI-2416 b,8.275479,0.0831,9.86390302,953.485221,0.32,,1080.0,5808.0,1.236,1.118,0.32,4.303
