pl_name,PC1,PC2,PC3,PC4
TOI-1173 b,-0.2676814070458985,-0.31093219462378857,-0.3739778576440469,0.37526742711817135
TOI-1181 b,-0.17774350818867796,-3.2421506075833832,-0.44412743500013396,0.7638979329365141
TOI-1194 b,-0.9840247418738196,-1.16068101745624,-0.2962786733455806,1.1085989744348221
TOI-1199 b,-0.3172725632748846,-2.0935279738815527,-0.2850326379172,1.0018063847159586
TOI-1201 b,-1.7165059708455706,1.2147451620305443,-0.299439568173777,0.34843328886554753
TOI-1203.01,1.1937441313694597,0.621787221416974,-0.9658749713320719,-1.679164257564067
TOI-122 b,-1.5503387588034012,2.06447667349596,-0.3195583969880967,0.11196586895690586
TOI-1221 b,4.326460317863811,1.233657852707063,-0.1181821473830307,0.27682602726458777
TOI-1231 b,0.3630931965423533,2.129796600971896,-0.04059994291641504,0.44423576268720016
TOI-1232 b,0.7830288303709552,-0.5185849452626069,-0.21126205673418574,0.5818120474350547
TOI-1232 c,1.758044885338675,0.16473139922745522,-0.7843263336208434,0.4926689572897197
TOI-1233.01,0.2699561222729303,0.7049402436388577,-0.5451117256496395,-1.2464476636747486
TOI-1235 b,-1.2490550389491746,0.5943466950244504,-0.042428997572465384,0.9347468642125634
TOI-1238 b,-1.6850994841122782,0.18149973419696003,1.2457560426474625,0.5196903131911872
TOI-1238 c,-1.1345958096681499,0.657235588525728,0.6239663998866088,0.8164728455461112
TOI-1243 b,-1.1066004482121279,1.6848445050788676,-0.0634839796058858,-0.503342151104109
TOI-1246 b,-0.7680989385574087,-0.26558198346793727,-0.31018264529472184,0.15982366739659756
TOI-1246 c,-0.629333217613843,0.010705014700109917,-0.5712600967003302,0.25306137131491235
TOI-1246 d,0.5812502214049466,0.6125150034194315,-0.807274658024915,0.3459761169849309
TOI-1246 e,1.7319539223104259,1.0345481221113093,-1.0179782727604219,0.5130186223477701
TOI-1248 b,-0.7397851480843368,-0.366272352141044,-0.4213303230804929,0.6693704345912307
TOI-1249 b,0.33761927478983067,-0.006399429006882619,-0.703636909726129,0.6776928136156842
TOI-125 b,-0.5635464718554124,0.009922252169180624,0.6160765371977894,-0.5619005571788489
TOI-125 c,-0.18526510909960908,0.36971917389323405,-0.2923915463522549,-0.4033016845426492
TOI-125 d,0.8976064267716547,0.7935422532532109,0.20156949854211853,-0.38454945598701656
TOI-1260 b,-1.3289582883338684,0.584858792151355,-0.48376019067863507,-0.41153024899922996
TOI-1260 c,-0.6840121379941891,0.9464016705612793,-0.5496432545188694,-0.31760597995581213
TOI-1260 d,0.12195155234398777,1.3457450429532116,-0.7002845624727814,-0.25681710459299045
TOI-1266 b,-0.743492937959565,2.145218907604695,-0.23718408281236256,-0.1140116300521006
TOI-1266 c,-0.1697869548144019,2.4197908078749943,-0.1754144486691232,-0.18229548696597966
TOI-1266 d,0.5480439593876796,2.7175006913399997,-0.241141345544271,-0.18556111034593864
