pl_name,PC1,PC2,PC3,PC4,Cluster_K2,Familia_Planeta
HD 18599 b,-0.4444815412134295,0.025133976745408,1.6034560313679052,-0.5481561994443467,0,Familia 0 (Población Estándar)
HD 191939 b,-0.134855733792527,0.0809146254098726,-0.5728268792519742,-0.8767159551902236,0,Familia 0 (Población Estándar)
HD 191939 c,1.3352667615618623,0.8187828949801769,-0.8679512993951071,-0.795491473898783,0,Familia 0 (Población Estándar)
HD 191939 d,1.8056718519030897,1.0923919108656654,-1.045413380606592,-0.8347847165378013,0,Familia 0 (Población Estándar)
HD 202772 A b,0.1717139546126614,-3.811089348349022,-0.4852534907043195,0.0169222822366745,0,Familia 0 (Población Estándar)
HD 20329 b,-1.6427653114986658,-1.355638199842246,-0.6754224447491702,-0.8981027385693813,0,Familia 0 (Población Estándar)
HD 207496 b,-0.3266433426991261,0.4298444284439581,0.8695252287048795,-0.1920969601708714,0,Familia 0 (Población Estándar)
HD 207897 b,0.2921225284511325,0.9018426590102492,-0.7645862233550939,-0.1959849070348282,0,Familia 0 (Población Estándar)
HD 213885 b,-1.5045173820127358,-1.5204991155276526,-0.6877791053008646,-0.8421334335545358,0,Familia 0 (Población Estándar)
HD 21520 b,1.3290627443624137,0.3526383262672785,-1.01434498249552,-0.1276959013911531,0,Familia 0 (Población Estándar)
HD 21749 c,-0.4126238490328743,0.9670893139384414,0.5469003292940076,-0.4605429864186906,0,Familia 0 (Población Estándar)
HD 219666 b,-0.3082578845310958,-0.5837109649986928,-0.3158739699352541,-0.1575216625620627,0,Familia 0 (Población Estándar)
HD 221416 b,1.4840793793370786,-2.301925151564088,-0.3416012351333203,-1.2711170292182834,0,Familia 0 (Población Estándar)
HD 22946 d,2.936122098190772,0.951808767675854,-0.9775179607525364,-0.4665240358363449,1,Familia 1 (Población Exótica/Atípica)
HD 23472 b,0.302944869672049,1.3368849419332558,-0.3635118939733891,-0.8234846112351035,0,Familia 0 (Población Estándar)
HD 23472 c,0.9796828825431108,1.6994763733238238,-0.6141015355560328,-0.8362040674091595,0,Familia 0 (Población Estándar)
HD 23472 d,-1.1597548839595722,0.7697910666153084,-0.2568149197599703,-1.1752918456006325,0,Familia 0 (Población Estándar)
HD 23472 e,-0.6310390352593018,1.0897745113153938,-0.3271482566190804,-1.123499042554113,0,Familia 0 (Población Estándar)
HD 23472 f,-0.2078121959281472,1.2817753107758625,-0.389227712645115,-1.0620337616129043,0,Familia 0 (Población Estándar)
HD 235088 b,-0.5592014468902639,0.4820463877133147,-0.6804352752834466,-0.3571980566587105,0,Familia 0 (Población Estándar)
HD 25463 b,-0.0044377708579453,-1.0831405455765832,-0.8673846567341212,-0.8102573093674851,0,Familia 0 (Población Estándar)
HD 25463 c,-0.7074169572569561,-1.4398476603911512,-0.8318350627874556,-0.9995596960093248,0,Familia 0 (Población Estándar)
HD 260655 b,-1.9586678033332143,2.24983426836205,-0.1946564339591996,-1.1206883324381334,0,Familia 0 (Población Estándar)
HD 260655 c,-1.5037071535511255,2.506615164625835,-0.2376204749612752,-1.0486389640055127,0,Familia 0 (Población Estándar)
HD 2685 b,0.0136783180867887,-2.573088398039526,-0.067237915629371,-0.3758008342326708,0,Familia 0 (Población Estándar)
HD 28109 b,1.2877225704534612,-0.4715875124396959,-1.0506656059198918,-0.3449993677720872,0,Familia 0 (Población Estándar)
HD 28109 c,2.7866772971720946,0.0832037280243341,-1.3648303507498731,-0.1280141882701607,1,Familia 1 (Población Exótica/Atípica)
HD 28109 d,3.1073492763441988,0.3829940307865813,-1.4347039059289832,-0.1835880421153844,1,Familia 1 (Población Exótica/Atípica)
HD 332231 b,1.17581682371036,-0.5444150717297276,-0.8662305042236984,-0.0326981365632022,0,Familia 0 (Población Estándar)
HD 35843 c,2.430150893283713,1.436994332615124,-0.3623352246298466,-1.1575224508425337,1,Familia 1 (Población Exótica/Atípica)
HD 5278 b,0.621108376928607,-0.009062003116039,-0.4626923056104842,-0.9295548329555408,0,Familia 0 (Población Estándar)
HD 56414 b,3.8142713001613022,-1.5982036117666627,2.9322644648403013,-1.416413351422447,1,Familia 1 (Población Exótica/Atípica)
HD 6061 b,-0.5570458533737276,-0.3666580202678331,-0.7062509238295765,-0.6141478133623839,0,Familia 0 (Población Estándar)
HD 63433 b,-0.4628690368917821,0.0373270186172275,-0.2990476511756523,-0.5565797380350145,0,Familia 0 (Población Estándar)
HD 63433 c,0.8509046324561818,0.696633072433059,-0.3300355086996464,-0.4886128442313732,0,Familia 0 (Población Estándar)
HD 63433 d,-0.6173525486788721,-0.149292413182098,0.3613421079081811,-0.5433006009861981,0,Familia 0 (Población Estándar)
HD 63935 b,-0.1340608051627528,-0.0057113936890474,-0.6842054703392793,0.0211887167681453,0,Familia 0 (Población Estándar)
HD 73583 b,-0.6674860006113843,0.7916204273781894,0.0474477714067796,-0.1228067036700927,0,Familia 0 (Población Estándar)
